walrus,NOUN,uncommon,4,,animate
penguin,NOUN,uncommon,4,,animate
lighthouse,NOUN,uncommon,4,,place
submarine,NOUN,uncommon,5,space,object
volcano,NOUN,uncommon,4,,place
detective,NOUN,uncommon,4,,animate
astronaut,NOUN,uncommon,5,space,animate
librarian,NOUN,uncommon,4,,animate
accordion,NOUN,uncommon,5,,object
casserole,NOUN,uncommon,4,,food
mustache,NOUN,uncommon,4,,object
avalanche,NOUN,uncommon,5,,place
carnival,NOUN,uncommon,4,,place
raccoon,NOUN,uncommon,4,,animate
tornado,NOUN,uncommon,4,,place
galaxy,NOUN,uncommon,5,space,place
treasure,NOUN,uncommon,4,pirate,object
kraken,NOUN,uncommon,5,pirate,animate
telescope,NOUN,uncommon,4,space,object
bagpipes,NOUN,uncommon,5,,object
hamster,NOUN,uncommon,3,,animate
# ---------- RARE NOUNS ----------
kaleidoscope,NOUN,rare,7,
skulduggery,NOUN,rare,8,pirate
cathedral,NOUN,rare,6,
labyrinth,NOUN,rare,7,
mongoose,NOUN,rare,6,
apocalypse,NOUN,rare,7,
chandelier,NOUN,rare,6,
platypus,NOUN,rare,7,
rhinoceros,NOUN,rare,6,
sarcophagus,NOUN,rare,8,
hullabaloo,NOUN,rare,8,
supernova,NOUN,rare,7,space
# ---------- LEGENDARY NOUNS ----------
onomatopoeia,NOUN,legendary,10,
extravaganza,NOUN,legendary,10,
kerfuffle,NOUN,legendary,10,
# ---------- COMMON VERBS ----------
is,VERB,common,1,,animate|place|food|object|abstract
are,VERB,common,1,,animate|place|food|object|abstract
was,VERB,common,1,,animate|place|food|object|abstract
ran,VERB,common,1,,animate
ate,VERB,common,1,,animate
saw,VERB,common,1,,animate
sang,VERB,common,2,,animate
jumped,VERB,common,2,,animate
found,VERB,common,2,,animate
built,VERB,common,2,,animate
broke,VERB,common,2,,animate
loved,VERB,common,2,,animate
chased,VERB,common,2,,animate
sneezed,VERB,common,2,,animate
whispered,VERB,common,2,,animate
exploded,VERB,common,2,,object|place|abstract
melted,VERB,common,2,,food|object|abstract
danced,VERB,common,2,,animate
stole,VERB,common,2,pirate,animate
# ---------- UNCOMMON VERBS ----------
galloped,VERB,uncommon,4,,animate
juggled,VERB,uncommon,4,,animate
tangoed,VERB,uncommon,5,,animate
wobbled,VERB,uncommon,3,,animate|object
smuggled,VERB,uncommon,4,pirate,animate
devoured,VERB,uncommon,4,,animate
levitated,VERB,uncommon,5,,animate
serenaded,VERB,uncommon,5,,animate
demolished,VERB,uncommon,4,,animate|object
plummeted,VERB,uncommon,4,,animate|object|place|abstract
squabbled,VERB,uncommon,4,,animate
tiptoed,VERB,uncommon,3,,animate
hijacked,VERB,uncommon,4,,animate
orbited,VERB,uncommon,4,space,animate|object|place
vanished,VERB,uncommon,3,,animate|object|place|abstract
marinated,VERB,uncommon,4,,animate
# ---------- RARE VERBS ----------
flabbergasted,VERB,rare,8,
absconded,VERB,rare,7,pirate
pirouetted,VERB,rare,7,
hypnotized,VERB,rare,6,
catapulted,VERB,rare,6,
ricocheted,VERB,rare,7,
bamboozled,VERB,rare,8,pirate
capsized,VERB,rare,6,pirate
# ---------- LEGENDARY VERBS ----------
discombobulated,VERB,legendary,10,
defenestrated,VERB,legendary,10,
# ---------- COMMON ADJECTIVES ----------
big,ADJ,common,1,
small,ADJ,common,1,
red,ADJ,common,1,
old,ADJ,common,1,
new,ADJ,common,1,
happy,ADJ,common,1,
angry,ADJ,common,2,
sleepy,ADJ,common,2,
grumpy,ADJ,common,2,
sticky,ADJ,common,2,
haunted,ADJ,common,2,
tiny,ADJ,common,2,
loud,ADJ,common,2,
smelly,ADJ,common,2,
fancy,ADJ,common,2,
lost,ADJ,common,2,
# ---------- UNCOMMON ADJECTIVES ----------
velvet,ADJ|NOUN,uncommon,4,
enormous,ADJ,uncommon,3,
invisible,ADJ,uncommon,4,
suspicious,ADJ,uncommon,4,
radioactive,ADJ,uncommon,5,space
soggy,ADJ,uncommon,3,
majestic,ADJ,uncommon,4,
reckless,ADJ,uncommon,4,
ancient,ADJ,uncommon,3,
ferocious,ADJ,uncommon,4,
bewildered,ADJ,uncommon,5,
glittering,ADJ,uncommon,4,
melancholy,ADJ|NOUN,uncommon,5,
ludicrous,ADJ,uncommon,5,
# ---------- RARE ADJECTIVES ----------
preposterous,ADJ,rare,7,
iridescent,ADJ,rare,7,
cantankerous,ADJ,rare,8,
serendipitous,ADJ,rare,8,
labyrinthine,ADJ,rare,7,
unfathomable,ADJ,rare,7,
# ---------- LEGENDARY ADJECTIVES ----------
incomprehensible,ADJ,legendary,10,
# ---------- ADVERBS ----------
quickly,ADV,common,2,
slowly,ADV,common,2,
loudly,ADV,common,2,
badly,ADV,common,1,
never,ADV,common,2,
always,ADV,common,2,
politely,ADV,uncommon,3,
furiously,ADV,uncommon,4,
magnificently,ADV,uncommon,5,
accidentally,ADV,uncommon,4,
gracefully,ADV,uncommon,4,
suspiciously,ADV,uncommon,4,
begrudgingly,ADV,rare,7,
inexplicably,ADV,rare,7,
# ---------- ENDING WORDS (chapter close candidates, story mode) ----------
finally,ADV,uncommon,3,ending
home,NOUN|ADV,common,2,ending
asleep,ADJ,common,2,ending
forever,ADV,uncommon,3,ending
